model,referecne,metric,value
growth_rate_simulated_iEC1356_Bl21DE3,is_essential_file_can_grow,F1 Score,0.9066666666666665
growth_rate_simulated_iEC1356_Bl21DE3,is_essential_file_can_grow,Specificity,0.03896103896103896
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_1,Accuracy,0.8426966292134831
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_1,Precision,0.8888888888888888
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_1,Recall,0.935064935064935
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_1,F1 Score,0.9113924050632912
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_1,Specificity,0.037037037037037035
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_2,Accuracy,0.9428571428571428
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_2,Recall,0.9428571428571428
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_2,F1 Score,0.9705882352941176
growth_rate_simulated_iEC1356_Bl21DE3,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEC1364_W,is_essential_file_can_grow,Accuracy,0.8656126482213439
growth_rate_simulated_iEC1364_W,is_essential_file_can_grow,Precision,0.9078138718173837
growth_rate_simulated_iEC1364_W,is_essential_file_can_grow,Recall,0.9408553230209281
growth_rate_simulated_iEC1364_W,is_essential_file_can_grow,F1 Score,0.9240393208221627
growth_rate_simulated_iEC1364_W,is_essential_file_can_grow,Specificity,0.053555750658472345
growth_rate_simulated_iEC1364_W,growth_rate_file_1,Accuracy,0.8783359497645212
growth_rate_simulated_iEC1364_W,growth_rate_file_1,Precision,0.9286335944299391
growth_rate_simulated_iEC1364_W,growth_rate_file_1,Recall,0.9359649122807018
growth_rate_simulated_iEC1364_W,growth_rate_file_1,F1 Score,0.9322848405417212
growth_rate_simulated_iEC1364_W,growth_rate_file_1,Specificity,0.04525674499564839
growth_rate_simulated_iEC1364_W,growth_rate_file_2,Accuracy,0.9456327985739751
growth_rate_simulated_iEC1364_W,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iEC1364_W,growth_rate_file_2,Recall,0.9456327985739751
growth_rate_simulated_iEC1364_W,growth_rate_file_2,F1 Score,0.9720568025652772
growth_rate_simulated_iEC1364_W,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEC1368_DH5a,is_essential_file_can_grow,Accuracy,
growth_rate_simulated_iEC1368_DH5a,is_essential_file_can_grow,Precision,
growth_rate_simulated_iEC1368_DH5a,is_essential_file_can_grow,Recall,
growth_rate_simulated_iEC1368_DH5a,is_essential_file_can_grow,F1 Score,
growth_rate_simulated_iEC1368_DH5a,is_essential_file_can_grow,Specificity,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_1,Accuracy,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_1,Precision,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_1,Recall,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_1,F1 Score,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_1,Specificity,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_2,Accuracy,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_2,Precision,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_2,Recall,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_2,F1 Score,
growth_rate_simulated_iEC1368_DH5a,growth_rate_file_2,Specificity,
growth_rate_simulated_iEC1372_W3110,is_essential_file_can_grow,Accuracy,0.8301886792452831
growth_rate_simulated_iEC1372_W3110,is_essential_file_can_grow,Precision,0.8731884057971014
growth_rate_simulated_iEC1372_W3110,is_essential_file_can_grow,Recall,0.926923076923077
growth_rate_simulated_iEC1372_W3110,is_essential_file_can_grow,F1 Score,0.8992537313432836
growth_rate_simulated_iEC1372_W3110,is_essential_file_can_grow,Specificity,0.08333333333333333
growth_rate_simulated_iEC1372_W3110,growth_rate_file_1,Accuracy,0.8379204892966361
growth_rate_simulated_iEC1372_W3110,growth_rate_file_1,Precision,0.8943661971830986
growth_rate_simulated_iEC1372_W3110,growth_rate_file_1,Recall,0.9169675090252708
growth_rate_simulated_iEC1372_W3110,growth_rate_file_1,F1 Score,0.9055258467023173
growth_rate_simulated_iEC1372_W3110,growth_rate_file_1,Specificity,0.07042253521126761
growth_rate_simulated_iEC1372_W3110,growth_rate_file_2,Accuracy,0.924812030075188
growth_rate_simulated_iEC1372_W3110,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iEC1372_W3110,growth_rate_file_2,Recall,0.924812030075188
growth_rate_simulated_iEC1372_W3110,growth_rate_file_2,F1 Score,0.9609375000000001
growth_rate_simulated_iEC1372_W3110,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEC55989_1330,is_essential_file_can_grow,Accuracy,0.8657094594594594
growth_rate_simulated_iEC55989_1330,is_essential_file_can_grow,Precision,0.9122974261201144
growth_rate_simulated_iEC55989_1330,is_essential_file_can_grow,Recall,0.9345703125
growth_rate_simulated_iEC55989_1330,is_essential_file_can_grow,F1 Score,0.9232995658465991
growth_rate_simulated_iEC55989_1330,is_essential_file_can_grow,Specificity,0.06482364156339371
growth_rate_simulated_iEC55989_1330,growth_rate_file_1,Accuracy,0.8770992366412214
growth_rate_simulated_iEC55989_1330,growth_rate_file_1,Precision,0.9291204099060631
growth_rate_simulated_iEC55989_1330,growth_rate_file_1,Recall,0.9331046312178388
growth_rate_simulated_iEC55989_1330,growth_rate_file_1,F1 Score,0.9311082584510055
growth_rate_simulated_iEC55989_1330,growth_rate_file_1,Specificity,0.05209222886421862
growth_rate_simulated_iEC55989_1330,growth_rate_file_2,Accuracy,0.9389312977099237
growth_rate_simulated_iEC55989_1330,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iEC55989_1330,growth_rate_file_2,Recall,0.9389312977099237
growth_rate_simulated_iEC55989_1330,growth_rate_file_2,F1 Score,0.9685039370078741
growth_rate_simulated_iEC55989_1330,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iECABU_c1320,is_essential_file_can_grow,Accuracy,0.8576576576576577
growth_rate_simulated_iECABU_c1320,is_essential_file_can_grow,Precision,0.907520325203252
growth_rate_simulated_iECABU_c1320,is_essential_file_can_grow,Recall,0.9302083333333333
growth_rate_simulated_iECABU_c1320,is_essential_file_can_grow,F1 Score,0.918724279835391
growth_rate_simulated_iECABU_c1320,is_essential_file_can_grow,Specificity,0.059959349593495935
growth_rate_simulated_iECABU_c1320,growth_rate_file_1,Accuracy,0.866723259762309
growth_rate_simulated_iECABU_c1320,growth_rate_file_1,Precision,0.9227099236641222
growth_rate_simulated_iECABU_c1320,growth_rate_file_1,Recall,0.9271332694151486
growth_rate_simulated_iECABU_c1320,growth_rate_file_1,F1 Score,0.9249163079866094
growth_rate_simulated_iECABU_c1320,growth_rate_file_1,Specificity,0.05152671755725191
growth_rate_simulated_iECABU_c1320,growth_rate_file_2,Accuracy,0.9353846153846154
growth_rate_simulated_iECABU_c1320,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iECABU_c1320,growth_rate_file_2,Recall,0.9353846153846154
growth_rate_simulated_iECABU_c1320,growth_rate_file_2,F1 Score,0.9666136724960255
growth_rate_simulated_iECABU_c1320,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iECB_1328,is_essential_file_can_grow,Accuracy,0.8539224526600541
growth_rate_simulated_iECB_1328,is_essential_file_can_grow,Precision,0.9063136456211812
growth_rate_simulated_iECB_1328,is_essential_file_can_grow,Recall,0.9270833333333334
growth_rate_simulated_iECB_1328,is_essential_file_can_grow,F1 Score,0.9165808444902163
growth_rate_simulated_iECB_1328,is_essential_file_can_grow,Specificity,0.05804480651731161
growth_rate_simulated_iECB_1328,growth_rate_file_1,Accuracy,0.8628571428571429
growth_rate_simulated_iECB_1328,growth_rate_file_1,Precision,0.921173235563703
growth_rate_simulated_iECB_1328,growth_rate_file_1,Recall,0.9245630174793008
growth_rate_simulated_iECB_1328,growth_rate_file_1,F1 Score,0.9228650137741047
growth_rate_simulated_iECB_1328,growth_rate_file_1,Specificity,0.04766269477543538
growth_rate_simulated_iECB_1328,growth_rate_file_2,Accuracy,0.9333333333333333
growth_rate_simulated_iECB_1328,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iECB_1328,growth_rate_file_2,Recall,0.9333333333333333
growth_rate_simulated_iECB_1328,growth_rate_file_2,F1 Score,0.9655172413793104
growth_rate_simulated_iECB_1328,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iECBD_1354,is_essential_file_can_grow,Accuracy,1.0
growth_rate_simulated_iECBD_1354,is_essential_file_can_grow,Precision,1.0
growth_rate_simulated_iECBD_1354,is_essential_file_can_grow,Recall,1.0
growth_rate_simulated_iECBD_1354,is_essential_file_can_grow,F1 Score,1.0
growth_rate_simulated_iECBD_1354,is_essential_file_can_grow,Specificity,0.0
growth_rate_simulated_iECBD_1354,growth_rate_file_1,Accuracy,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_1,Precision,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_1,Recall,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_1,F1 Score,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_1,Specificity,0.0
growth_rate_simulated_iECBD_1354,growth_rate_file_2,Accuracy,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_2,Recall,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_2,F1 Score,1.0
growth_rate_simulated_iECBD_1354,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iECD_1391,is_essential_file_can_grow,Accuracy,0.8573991031390135
growth_rate_simulated_iECD_1391,is_essential_file_can_grow,Precision,0.9047141424272819
growth_rate_simulated_iECD_1391,is_essential_file_can_grow,Recall,0.9337474120082816
growth_rate_simulated_iECD_1391,is_essential_file_can_grow,F1 Score,0.9190015282730515
growth_rate_simulated_iECD_1391,is_essential_file_can_grow,Specificity,0.05416248746238716
growth_rate_simulated_iECD_1391,growth_rate_file_1,Accuracy,0.8718572587185726
growth_rate_simulated_iECD_1391,growth_rate_file_1,Precision,0.9239819004524887
growth_rate_simulated_iECD_1391,growth_rate_file_1,Recall,0.9324200913242009
growth_rate_simulated_iECD_1391,growth_rate_file_1,F1 Score,0.9281818181818182
growth_rate_simulated_iECD_1391,growth_rate_file_1,Specificity,0.048868778280542986
growth_rate_simulated_iECD_1391,growth_rate_file_2,Accuracy,0.9388379204892966
growth_rate_simulated_iECD_1391,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iECD_1391,growth_rate_file_2,Recall,0.9388379204892966
growth_rate_simulated_iECD_1391,growth_rate_file_2,F1 Score,0.9684542586750788
growth_rate_simulated_iECD_1391,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iECDH10B_1368,is_essential_file_can_grow,Accuracy,0.8637489677952106
growth_rate_simulated_iECDH10B_1368,is_essential_file_can_grow,Precision,0.9088397790055248
growth_rate_simulated_iECDH10B_1368,is_essential_file_can_grow,Recall,0.9373219373219374
growth_rate_simulated_iECDH10B_1368,is_essential_file_can_grow,F1 Score,0.9228611500701263
growth_rate_simulated_iECDH10B_1368,is_essential_file_can_grow,Specificity,0.05432780847145488
growth_rate_simulated_iECDH10B_1368,growth_rate_file_1,Accuracy,0.8795454545454545
growth_rate_simulated_iECDH10B_1368,growth_rate_file_1,Precision,0.9284511784511784
growth_rate_simulated_iECDH10B_1368,growth_rate_file_1,Recall,0.9371282922684792
growth_rate_simulated_iECDH10B_1368,growth_rate_file_1,F1 Score,0.9327695560253699
growth_rate_simulated_iECDH10B_1368,growth_rate_file_1,Specificity,0.04882154882154882
growth_rate_simulated_iECDH10B_1368,growth_rate_file_2,Accuracy,0.9424860853432282
growth_rate_simulated_iECDH10B_1368,growth_rate_file_2,Precision,1.0
growth_rate_simulated_iECDH10B_1368,growth_rate_file_2,Recall,0.9424860853432282
growth_rate_simulated_iECDH10B_1368,growth_rate_file_2,F1 Score,0.9703915950334289
growth_rate_simulated_iECDH10B_1368,growth_rate_file_2,Specificity,0.0
growth_rate_simulated_iEcDH1_1363,is_essential_file_can_grow,Accuracy,0.8888888888888888
growth_rate_simulated_iEcDH1_1363,is_essential_file_can_grow,Precision,1.0
growth_rate_simulated_iEcDH1_1363,is_essential_file_can_grow,Recall,0.875
growth_rate_simulated_iEcDH1_1363,is_essential_file_can_grow,F1 Score,0.9333333333333333
