Name,reference,Accuracy,Precision,Recall,F1 Score,Specificity
ampG,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ampG,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ampG,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ampH,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ampH,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ampH,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
amtB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amtB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
amtB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
amyA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
amyA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
amyA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
anmK,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
anmK,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ansA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ansA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ansA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ansB,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ansB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ansB,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
ansP,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
ansP,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
ansP,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
apaH,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
apaH,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
apaH,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aphA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aphA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aphA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
appA,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
appA,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
appA,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
appB,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
appC,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
apt,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
apt,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
apt,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
aqpZ,is_essential_file_can_grow,1.0,1.0,1.0,1.0,0.0
aqpZ,growth_rate_file_1,1.0,1.0,1.0,1.0,0.0
aqpZ,growth_rate_file_2,1.0,1.0,1.0,1.0,0.0
araA,growth_rate_file_1,0.0,0.0,,,0.0
araB,growth_rate_file_1,0.0,0.0,,,0.0
